scenario_id,length,has_crash,noise_sigma,baseline_low,drift_min,drift_max,crash_start,ground_truth_crashed,threshold_alert_time,aump_alert_time@0.5,lead_time@0.5,false_alarm@0.5,aump_alert_time@0.6,lead_time@0.6,false_alarm@0.6,aump_alert_time@0.7,lead_time@0.7,false_alarm@0.7,aump_alert_time@0.8,lead_time@0.8,false_alarm@0.8,aump_alert_time@0.9,lead_time@0.9,false_alarm@0.9
140,30,True,2.5,65,0.5497245217339493,2.0789692418136405,16,False,,26.0,,True,26.0,,True,26.0,,True,27.0,,True,,,False
141,30,True,1.5,75,0.4796018433916439,1.6331488530648313,14,False,,29.0,,True,29.0,,True,,,False,,,False,,,False
142,30,False,2.5,65,0.7110884555321617,1.5894421451885743,-1,False,,3.0,,True,,,False,,,False,,,False,,,False
143,30,True,1.5,75,0.4388251456694869,2.0873309315544164,16,False,,,,False,,,False,,,False,,,False,,,False
144,30,True,1.5,75,0.5862203630537077,2.491637988259863,14,False,,,,False,,,False,,,False,,,False,,,False
145,30,True,2.5,75,0.5831441589538683,2.6351345599524856,13,True,27.0,16.0,11.0,False,23.0,4.0,False,23.0,4.0,False,27.0,0.0,False,28.0,-1.0,False
146,30,True,2.0,75,0.35388137946689474,2.5726780172225334,15,True,23.0,21.0,2.0,False,21.0,2.0,False,21.0,2.0,False,21.0,2.0,False,24.0,-1.0,False
147,30,True,2.0,75,0.5004018308167791,1.9259585051262391,10,True,20.0,12.0,8.0,False,17.0,3.0,False,19.0,1.0,False,24.0,-4.0,False,24.0,-4.0,False
148,30,False,1.5,65,0.5733410062848172,2.00836862609534,-1,False,,15.0,,True,,,False,,,False,,,False,,,False
149,30,True,1.5,65,0.3201314304538623,2.811144581416355,18,False,,24.0,,True,26.0,,True,28.0,,True,,,False,,,False
150,30,True,2.5,65,0.7981877359099319,1.7057556002064829,15,True,2.0,3.0,-1.0,False,7.0,-5.0,False,7.0,-5.0,False,8.0,-6.0,False,9.0,-7.0,False
151,30,True,2.5,70,0.5467719339872166,1.717089135507838,15,True,20.0,4.0,16.0,False,13.0,7.0,False,14.0,6.0,False,15.0,5.0,False,,,False
152,30,False,2.5,65,0.6938407240383198,1.5468727018337352,-1,False,,,,False,,,False,,,False,,,False,,,False
153,30,True,2.0,75,0.5120075925294789,2.851967375492475,21,False,,14.0,,True,23.0,,True,23.0,,True,,,False,,,False
154,30,False,2.5,70,0.5267697713691146,1.8420959704618831,-1,True,20.0,14.0,6.0,False,14.0,6.0,False,14.0,6.0,False,14.0,6.0,False,,,False
155,30,True,1.0,70,0.7642311854914792,2.8998835837393107,19,False,,27.0,,True,28.0,,True,29.0,,True,,,False,,,False
156,30,True,2.5,75,0.38589329056879057,2.577756734597166,11,False,,29.0,,True,29.0,,True,29.0,,True,29.0,,True,29.0,,True
